cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
992,1,1,1,54.75,54.75
993,1,0,0,1.25,1.25
994,1,1,1,55.5,55.5
995,1,0,0,4.75,4.75
996,1,1,1,56.0,56.0
997,1,0,0,7.25,7.25
998,1,1,1,55.75,55.75
999,1,1,1,58.75,58.75
1000,1,1,1,55.0,55.0
1001,1,1,1,57.75,57.75
1002,1,1,1,55.0,55.0
1003,1,1,1,55.0,55.0
1004,1,1,1,57.75,57.75
1005,3,1,2,0.75,9.0
1006,1,1,1,56.75,56.75
1007,2,1,1,7.0,7.75
1008,1,1,1,17.5,17.25
1009,1,1,1,19.0,19.75
1010,1,1,1,56.0,56.0
1011,1,1,1,54.75,54.75
1012,1,1,1,56.75,56.75
1013,1,0,0,0.5,0.5
1014,1,0,0,5.75,5.75
1015,1,1,1,18.25,17.25
1016,1,1,1,56.0,56.0
1017,1,1,1,55.25,55.25
1018,1,1,1,55.75,55.75
1019,2,1,2,2.5,22.0
1020,2,1,2,22.5,71.0
1021,1,1,1,16.5,18.0
1022,1,1,1,57.25,57.25
1023,1,0,0,6.5,6.5
1024,2,1,1,1.25,1.25
1025,1,1,1,56.25,56.25
1026,1,1,1,58.25,58.25
1027,1,0,0,0.5,0.5
1028,1,1,1,19.75,19.5
1029,1,0,0,6.25,6.25
1030,2,1,2,7.0,40.0
1031,1,1,1,56.25,56.25
1032,1,0,0,8.5,8.5
1033,1,1,1,18.75,19.0
1034,1,1,1,19.25,20.0
1035,1,1,1,53.0,53.0
1036,1,1,1,55.75,55.75
1037,1,1,1,57.25,57.25
1038,1,0,0,1.0,1.0
1039,1,0,0,7.5,7.5
1040,2,1,1,1.5,2.0
1041,1,1,1,57.25,57.25
1042,2,1,2,15.75,67.25
1043,3,2,3,22.5,62.75
1044,2,2,2,38.25,38.75
1045,1,1,1,56.5,56.5
1046,1,1,1,54.75,54.75
1047,1,1,1,19.75,18.5
1048,1,1,1,57.75,57.75
1049,1,1,1,59.0,59.0
1050,2,1,1,19.0,20.75
1051,1,1,1,58.0,58.0
1052,1,1,1,55.25,55.25
1053,1,1,1,57.75,57.75
1054,1,1,1,56.75,56.75
1055,1,1,1,56.75,56.75
1056,1,1,1,58.0,58.0
1057,1,1,1,57.0,57.0
1058,1,1,1,20.5,21.0
1059,1,1,1,55.25,55.25
1060,1,1,1,55.25,55.25
1061,1,0,0,1.25,1.25
1062,1,0,0,7.0,7.0
1063,2,1,1,18.0,19.0
1064,2,1,1,19.0,18.25
1065,1,1,1,19.25,19.75
1066,1,1,1,57.0,57.0
1067,2,1,1,2.5,2.5
1068,1,0,0,1.5,1.5
1069,1,0,0,5.0,5.0
1070,1,0,0,7.5,7.5
1071,1,1,1,17.25,18.5
1072,1,1,1,55.0,55.0
1073,3,2,3,10.25,43.25
1074,1,1,1,19.75,18.25
1075,2,1,1,21.75,23.75
1076,1,1,1,58.0,58.0
1077,1,1,1,21.0,20.75
1078,1,1,1,56.0,56.0
1079,1,1,1,56.25,56.25
1080,1,1,1,54.25,54.25
1081,1,1,1,57.5,57.5
1082,1,1,1,55.75,55.75
1083,3,2,2,12.5,11.25
1084,1,1,1,55.25,55.25
1085,1,1,1,57.25,57.25
1086,1,1,1,55.5,55.5
1087,1,1,1,54.5,54.5
1088,1,1,1,56.0,56.0
1089,1,1,1,58.75,58.75
1090,3,3,3,43.25,41.25
1091,1,1,1,54.25,54.25
1092,2,1,2,18.25,67.5
1093,2,2,2,19.0,19.5
1094,1,1,1,56.25,56.25
1095,1,1,1,56.75,56.75
1096,2,1,1,2.75,2.25
1097,1,1,1,57.75,57.75
